Forecast_Day,LSTM_MSE,RF_MSE,LSTM_RMSE,RF_RMSE,LSTM_MAE,RF_MAE,LSTM_R2,RF_R2
Day_1,387.02164231436365,5.273708896142149,19.672865635548973,2.2964557248382014,17.695478557538316,1.5583723044977655,-3.075298121843156,0.9444683872687963
Day_2,240.91627744131978,7.338206873036512,15.521477939981095,2.708912488995632,13.07654429254983,1.952584276220458,-1.4449672893002603,0.9255273410445971
Day_3,207.79659859418692,8.961263494640889,14.41515170208718,2.993536953946099,11.763283402994714,2.0412118703237536,-1.0636638308614406,0.9110041479128103
