Forecast_Day,LSTM_MSE,RF_MSE,LSTM_RMSE,RF_RMSE,LSTM_MAE,RF_MAE,LSTM_R2,RF_R2
Day_1,781736825006230.9,316490336247687.25,27959556.952967457,17790175.27310193,13178436.017924532,8492002.33632514,0.012023807099777462,0.6000125521869728
Day_2,789400672291273.6,287732660064273.1,28096275.060784724,16962684.341349784,13251420.389516795,7766333.385264356,0.0016291330343006782,0.6360987324106048
Day_3,800989342708310.1,309651077088710.44,28301755.11710025,17596905.327037208,13045043.77743298,7473447.902301181,-0.012367520689710698,0.6086331284617927
