Forecast_Day,LSTM_MSE,RF_MSE,LSTM_RMSE,RF_RMSE,LSTM_MAE,RF_MAE,LSTM_R2,RF_R2
Day_1,63352064035283.87,18599857867177.34,7959400.984702546,4312755.252408527,4701018.091097803,2689760.4364614566,-0.0013769003146371084,0.7060006125932468
Day_2,63459874223561.87,24804741176733.863,7966170.612255419,4980435.84204574,4731452.210717662,2847536.987494463,-0.006003194173914483,0.606780675824496
Day_3,64391887770632.555,23987460202580.176,8024455.60587337,4897699.480631716,4730565.826437847,2910833.9525725627,-0.02098169491316315,0.6196608202957213
