Forecast_Day,LSTM_MSE,RF_MSE,LSTM_RMSE,RF_RMSE,LSTM_MAE,RF_MAE,LSTM_R2,RF_R2
Day_1,116.72795694551786,7.3731040058959305,10.804071313422448,2.715346019551823,8.998089263520123,1.8900087981213296,0.4133608536818091,0.9629450257426089
Day_2,129.31484110859844,15.195492367246317,11.37166835203166,3.8981396033552103,9.436023711489494,2.816985892452779,0.38217377357099025,0.9274006476943939
Day_3,141.73065399801246,25.991512394291906,11.905068416351602,5.098187167444121,9.806735806684484,3.515579684284843,0.3468222110818793,0.8802159016596396
